   1.0000000e-01   1.0000000e-01   0.0000000e+00   0.0000000e+00
   1.5423819e-01   1.4308038e-01   6.3475762e-04   6.0801586e-04
   2.1379516e-01   1.8678714e-01   1.5470860e-03   1.4271758e-03
   2.8106492e-01   2.3251879e-01   2.7702432e-03   2.4648936e-03
   3.5850097e-01   2.8167311e-01   4.3470557e-03   3.7334231e-03
   4.4781515e-01   3.3568501e-01   6.3320887e-03   5.2532576e-03
   5.4906613e-01   3.9597507e-01   8.7817480e-03   7.0503770e-03
   6.5898118e-01   4.6380829e-01   1.1745514e-02   9.1570416e-03
   7.6912117e-01   5.3980930e-01   1.5244916e-02   1.1610803e-02
   8.6734848e-01   6.2319698e-01   1.9250475e-02   1.4449563e-02
   9.4345272e-01   7.1093665e-01   2.3676498e-02   1.7701489e-02
   9.9444563e-01   7.9743174e-01   2.8402194e-02   2.1373249e-02
   1.0240070e+00   8.7562097e-01   3.3306151e-02   2.5441315e-02
   1.0390477e+00   9.3925343e-01   3.8292254e-02   2.9847095e-02
   1.0457551e+00   9.8564466e-01   4.3301984e-02   3.4508469e-02
   1.0480253e+00   1.0161257e+00   4.8306084e-02   3.9337613e-02
   1.0477564e+00   1.0344620e+00   5.3290353e-02   4.4260960e-02
   1.0455688e+00   1.0445903e+00   5.8244924e-02   4.9227152e-02
   1.0421425e+00   1.0491577e+00   6.3161812e-02   5.4204636e-02
   1.0383298e+00   1.0498160e+00   6.8036702e-02   5.9171584e-02
   1.0344443e+00   1.0482061e+00   7.2867653e-02   6.4111926e-02
   1.0306602e+00   1.0454658e+00   7.7654198e-02   6.9014865e-02
   1.0267565e+00   1.0419451e+00   8.2397283e-02   7.3876775e-02
   1.0225864e+00   1.0377782e+00   8.7096278e-02   7.8694891e-02
   1.0180877e+00   1.0331556e+00   9.1750586e-02   8.3466418e-02
   1.0133532e+00   1.0281252e+00   9.6358896e-02   8.8189963e-02
   1.0087641e+00   1.0230140e+00   1.0092105e-01   9.2862995e-02
   1.0041031e+00   1.0176415e+00   1.0543736e-01   9.7487097e-02
